week,slot_number,brand,recipe_title,person_size,calories,grams
2026-W19,25,HelloFresh,Handmade Spiced Fish Cakes,2,3209,640
2026-W19,26,HelloFresh,Scrub a Dub Beef Cottage Pie and Cheesy Mash,2,2758,791.3
2026-W19,27,HelloFresh,Super Quick Lemongrass Chicken Noodles,2,2113,387.5
2026-W19,28,HelloFresh,15 Minute Coronation Chicken,2,2965,401.3
2026-W19,29,HelloFresh,Super Quick Chermoula Spiced Beef and Couscous,2,3025,518
2026-W19,30,HelloFresh,"Mommy's One Pot Sausage, Bean & Mushroom Cassoulet",2,2505,517.4
2026-W19,31,HelloFresh,Cheesy Beef Mince Ragu,2,2979,453.9
2026-W19,32,HelloFresh,Easy Spanish Style Chicken Traybake,2,3152,615.4
2026-W19,33,HelloFresh,Jerk Spiced Pork and Black Bean Bowl,2,3485,690
2026-W19,34,HelloFresh,21 Day Aged Rump Steak and Peri Peri Potatoes,2,2582,651.8
2026-W19,35,HelloFresh,Speedy Spicy Cajun Chicken Macaroni,2,3312,469.3
2026-W19,36,HelloFresh,Moroccan Style Lamb and Couscous,2,2763,588.5
2026-W19,37,HelloFresh,Speedy Lamb and Mushroom Spag Bol,2,2892,605
2026-W19,38,HelloFresh,Chermoula Chicken Loaded Naan,2,4554,551.8
2026-W19,39,HelloFresh,Weeknight Fragrant Hoisin Pork Noodles,2,3310,480
2026-W19,40,HelloFresh,Pronto Bacon and Mushroom Linguine,2,2961,432.9
2026-W19,41,HelloFresh,Quick Peri Peri Chicken Couscous Bowl,2,2908,586.8
2026-W19,42,HelloFresh,Italian Inspired Butter Bean Cassoulet,2,2472,578.9
2026-W19,43,HelloFresh,Spiced Roasted Cauliflower on Zhoug Couscous,2,2255,487.5
2026-W19,44,HelloFresh,Speedy Creamy Brazilian Style Chickpeas,2,3194,743.8
2026-W19,45,HelloFresh,Arrabbiata Style Pumpkin and Sage Girasoli,2,2519,415.4
2026-W19,46,HelloFresh,Quick Creamy Truffle and Mushroom Rigatoni,2,2824,383.5
2026-W19,47,HelloFresh,Sweet Potato Pasanda Spiced Curry,2,4185,728.8
2026-W19,48,HelloFresh,Hot and Spicy Halloumi and Chilli-Tomato Relish,2,3654,641
2026-W19,49,HelloFresh,Charred Cabbage and Thai Style Nam Jim Dressing,2,2871,606
2026-W19,50,HelloFresh,Singapore Style Crispy Tofu & Black Pepper Noodles,2,2652,488.8
2026-W19,51,HelloFresh,Spanakopita Inspired Sigara Böreği,2,4296,568.3
2026-W19,52,HelloFresh,Quick Roasted Broccoli Blue Cheese Salad,2,1919,501
2026-W19,53,HelloFresh,Hearty Double Mushroom Bourguignon,2,2051,657.3
2026-W19,54,HelloFresh,Crispy Serrano Caprese Bruschetta,2,2021,416
2026-W19,55,HelloFresh,Middle Eastern Style Lamb Meatballs in Cherry Sauce,2,2382,574.3
2026-W19,56,HelloFresh,One Pot Ginger and Lime Chicken Noodle Soup,2,2191,653.2
2026-W19,57,HelloFresh,Clean Plate Chicken Schnitzel & Miso Butter Sauce,2,2763,659.9
2026-W19,58,HelloFresh,Chermoula Spiced Chicken in Smoky Sauce,2,2712,658
2026-W19,59,HelloFresh,Fragrant Ginger Beef Noodle Stir-Fry,2,2491,395.3
2026-W19,60,HelloFresh,Thai Green Style Chicken Curry,2,2550,434.2
2026-W19,61,HelloFresh,Peri Peri Spiced Tuna Fish Cakes,2,2553,682.5
2026-W19,62,HelloFresh,Lemon & Herb Crusted Basa and Chive Butter Sauce,2,2551,617
2026-W19,63,HelloFresh,Teriyaki Duck Rice Bowl,2,3459,673
2026-W19,64,HelloFresh,Bavarian Style Pork Belly and Homemade Apple Sauce,2,2463,828.4
2026-W19,65,HelloFresh,Peri Peri Chicken Burger and Wedges,2,4801,721.3
2026-W19,66,HelloFresh,Herby Creamy Tomato Chicken Penne,2,2920,495.4
2026-W19,67,HelloFresh,Sticky Honey Indonesian Style Beef Rice Bowl,2,2555,409.3
2026-W19,68,HelloFresh,Tex-Mex Style Pork Mince Tacos,2,3944,542.8
2026-W19,69,HelloFresh,Chermoula Lamb Koftas and Balsamic Fig Sauce,2,2356,526.3
2026-W19,70,HelloFresh,Speedy Chipotle Bean Chilli,2,3138,667.5
2026-W19,71,HelloFresh,Presto Pesto Pea Rigatoni,2,3207,418.5
2026-W19,72,HelloFresh,Easy Pulled Beef Ragu and Fresh Tagliatelle,2,4519,683.5
2026-W20,1,HelloFresh,Chicken in Creamy Peppercorn Sauce,2,2358,723.3
2026-W20,2,HelloFresh,Korean Style Gochujang Beef and Pork Bibimbap,2,2976,587
2026-W20,3,HelloFresh,Presto Bacon and Mushroom Linguine,2,2921,352.5
2026-W20,4,HelloFresh,Comforting Coronation Chicken Curry,2,2840,626.5
2026-W20,5,HelloFresh,Honey Mustard Sausages and Creamy Potato Gratin,2,3631,889
2026-W20,6,HelloFresh,Pronto Pesto Pasta Verde,2,3717,410.3
2026-W20,7,HelloFresh,Smoky BBQ Pulled Chicken Buns,2,4011,687.9
2026-W20,8,HelloFresh,Family Favourite Honey-Soy Crispy Chicken,2,2608,588
2026-W20,9,HelloFresh,Fast Fragrant Vietnamese Style Chicken Salad,2,2636,435
2026-W20,10,HelloFresh,Thai Style Spiced Chicken and Satay Sauce,2,3853,601
2026-W20,11,HelloFresh,Quick Indonesian Inspired Pork Noodles,2,2991,406.8
2026-W20,12,HelloFresh,Fragrant Sach Ko Ang Inspired Beef Kofta Baguette,2,3623,445.5
2026-W20,13,HelloFresh,Indonesian Gado Gado Inspired Salad,2,2622,619.5
2026-W20,14,HelloFresh,South East Asian Inspired Chickpea Curry,2,4007,790.2
2026-W20,15,HelloFresh,Pork Steak and Sweet & Sour Ginger Rhubarb Sauce,2,2478,548.5
2026-W20,16,HelloFresh,Purple Sprouting Broccoli and Chorizo Jam Rigatoni,2,3202,562.8
2026-W20,17,HelloFresh,Sticky Thai Style Pork Rice Bowl,2,2967,524.8
2026-W20,18,HelloFresh,Mediterranean Style Chorizo and Chickpea Traybake,2,2757,746
2026-W20,19,HelloFresh,"Sour Rhubarb, Cinnamon and Lentil Curry",2,3397,902.5
2026-W20,20,HelloFresh,Purple Sprouting Broccoli and Courgette Risotto,2,2773,727.8
2026-W20,21,HelloFresh,Caribbean Style Spiced Salmon,2,2642,499.8
2026-W20,22,HelloFresh,German Inspired Haddock in Mustard Cream Sauce,2,2328,509.5
2026-W20,23,HelloFresh,Traybake Prawn and Pepper Fajitas,2,2790,565.5
2026-W20,24,HelloFresh,Peanut and Prawn Noodle Stir-Fry,2,2062,451
2026-W20,25,HelloFresh,"Lemon, Parsley and White Wine Moules Frites",2,2692,659.3
2026-W20,26,HelloFresh,Cheesy Piggy Pie and Peas,2,3456,833.5
2026-W20,27,HelloFresh,One Pan Gochujang Beef Udon,2,2082,460
2026-W20,28,HelloFresh,15 Minute Fragrant Peanut Chicken Curry,2,2958,476.1
2026-W20,29,HelloFresh,Super Quick Chorizo and Bean Stew,2,2246,510.9
2026-W20,30,HelloFresh,'Nduja and Red Pepper Ravioli Arrabbiata,2,2723,388.8
2026-W20,31,HelloFresh,"Sausage, Sage and Butternut Rigatoni",2,4108,511.3
2026-W20,32,HelloFresh,Fuss-Free Tandoori Inspired Chicken Traybake,2,3247,691
2026-W20,33,HelloFresh,Pesto Chicken Traybake and Garlic Rice,2,2784,560.4
2026-W20,34,HelloFresh,21 Day Aged Rump Steak and Oregano Roast Potatoes,2,2512,570.8
2026-W20,35,HelloFresh,"Super Quick Spaghetti, Beef and Mushroom Ragu",2,2946,419.9
2026-W20,36,HelloFresh,Squeaky Clean Up Lamb Tagine,2,3102,578.5
2026-W20,37,HelloFresh,Peri Peri Chicken Fajita Style Tacos,2,3185,460.3
2026-W20,38,HelloFresh,Easy Peasy Teriyaki Sambal Chicken,2,2294,436.8
2026-W20,39,HelloFresh,Spring Clean Up Cajun Spiced Chorizo and Leek Orzo,2,3244,419.3
2026-W20,40,HelloFresh,Speedy Beef and Red Wine Open Pie,2,2340,589.5
2026-W20,41,HelloFresh,Roasted Chicken Thighs and Cheesy Leek Sauce,2,3243,627.9
2026-W20,42,HelloFresh,Cheesy Harissa Fritter Burger and Chips,2,3981,819.8
2026-W20,43,HelloFresh,Rich and Creamy Veggie 'Nduja Tortelloni,2,2663,432.5
2026-W20,44,HelloFresh,Yi Mein Inspired Longevity Noodles,2,2101,355.5
2026-W20,45,HelloFresh,Veggie Peanut Noodle Stir-Fry,2,2291,364.5
2026-W20,46,HelloFresh,Hearty Lentil and Mushroom Cottage Pie,2,2989,731.4
2026-W20,47,HelloFresh,Butternut Squash Masala,2,3105,877.5
2026-W20,48,HelloFresh,Glazed Halloumi and Gochujang Coconut Curry,2,3688,474.5
2026-W20,49,HelloFresh,Cheesy Veggie Mince Quesadillas,2,3809,610.4
2026-W20,50,HelloFresh,"Coconut, Ginger and Lemongrass Tofu Bowl",2,3147,567
2026-W20,51,HelloFresh,Chermoula Spiced Butter Bean Salad,2,2346,481.5
2026-W20,52,HelloFresh,Honey Mustard Roasted Radish Gyros Style Flatbreads,2,2426,530
2026-W20,53,HelloFresh,Smoky Ratatouille Stuffed Courgette,2,2054,745.3
2026-W20,54,HelloFresh,"Wham, Bam, One Pan Hoisin Pork Udon",2,2463,410.5
2026-W20,55,HelloFresh,Homemade Lamb Keema Pau,2,2653,526
2026-W20,56,HelloFresh,Chicken Gyros Inspired Bulgur Bowl,2,2729,537
2026-W20,57,HelloFresh,Peri Peri Honey and Lime Chicken Skewers,2,2280,557.8
2026-W20,58,HelloFresh,Thyme Roasted Chicken Breast and Gravy,2,2978,968.3
2026-W20,59,HelloFresh,Classic Lamb Shepherd's Pie,2,2232,633
2026-W20,60,HelloFresh,Scrub Club Coconut Chicken Curry,2,2660,593
2026-W20,61,HelloFresh,North Indian Inspired Lamb Koftas and Mint Yoghurt,2,2508,544.8
2026-W20,62,HelloFresh,Soy-Ginger Barramundi and Garlic Rice,2,2368,626.3
2026-W20,63,HelloFresh,Honey Gochujang Pulled Chicken Rice Bowl,2,2947,513.5
2026-W20,64,HelloFresh,Chipotle Ribs and Loaded Cheese Smashed Potatoes,2,3908,720
2026-W20,65,HelloFresh,Peri Peri Chicken Burger and Wedges,2,4378,656.3
2026-W20,66,HelloFresh,Herby Creamy Tomato Chicken Penne,2,2920,495.4
2026-W20,67,HelloFresh,Sticky Honey Indonesian Style Beef Rice Bowl,2,2591,371.8
2026-W20,68,HelloFresh,Tex-Mex Style Pork Mince Tacos,2,3944,542.8
2026-W20,69,HelloFresh,Chermoula Lamb Koftas and Balsamic Fig Sauce,2,2356,526.3
2026-W20,70,HelloFresh,Speedy Chipotle Bean Chilli,2,3138,667.5
2026-W20,71,HelloFresh,Presto Pesto Pea Rigatoni,2,3207,418.5
2026-W20,72,HelloFresh,Teriyaki Glazed Salmon on Fragrant Coriander Rice,2,5542,799
2026-W21,1,HelloFresh,Speedy Chipotle Chicken Penne,2,3070,523.5
2026-W21,2,HelloFresh,Hachis Parmentier,2,2752,630.5
2026-W21,3,HelloFresh,Family Favourite Pork and Pear Burger,2,3740,529.1
2026-W21,4,HelloFresh,Easy Chicken à la Normande,2,4135,720.5
2026-W21,5,HelloFresh,Honey Mustard Sausage Traybake,2,3093,727.5
2026-W21,6,HelloFresh,Roasted Vegetable Lasagne,2,2944,602.3
2026-W21,7,HelloFresh,Chorizo Crusted Baked Penne,2,4044,454.9
2026-W21,8,HelloFresh,Family Favourite Hoisin Beef Noodle Stir-Fry,2,2717,457.8
2026-W21,9,HelloFresh,Indonesian Inspired Pork Skewers in Sambal Sauce,2,3435,551.5
2026-W21,10,HelloFresh,Ayam Goreng Style Fried Chicken,2,3570,585.6
2026-W21,11,HelloFresh,Cơm Tấm Inspired Sweet Spiced Pork and Jasmine Rice,2,2304,630
2026-W21,12,HelloFresh,Lemongrass and Sambal Beef Larb Style Salad,2,2479,483
2026-W21,13,HelloFresh,Fajita Flavours Spinach & Ricotta Tortelloni,2,3531,458.5
2026-W21,14,HelloFresh,Vietnamese Cà Ri Chay Inspired Butternut Noodles,2,2667,709.8
2026-W21,15,HelloFresh,Chorizo and Purple Sprouting Broccoli Lentil Bowl,2,2801,680.5
2026-W21,16,HelloFresh,Crispy Chicken and Herby Jersey Royal Potato Salad,2,2798,588
2026-W21,17,HelloFresh,Thai Red Coconut Beef Meatball Curry,2,3262,766.8
2026-W21,18,HelloFresh,Pan-Fried Gammon and Charred Pineapple Rings,2,2635,652.5
2026-W21,19,HelloFresh,Purple Sprouting Broccoli & Spiced Butter Bean Bowl,2,2857,602.8
2026-W21,20,HelloFresh,"Spring Veg, Chickpea and Pickled Rhubarb Salad",2,3427,687
2026-W21,21,HelloFresh,Chả Cá Thăng Long Inspired Salmon,2,3245,464.2
2026-W21,22,HelloFresh,Belgian Style Haddock in Parsley & Caper Meunière Sauce,2,2618,523
2026-W21,23,HelloFresh,Chipotle-Mango Prawn Bulgur Bowl,2,2107,588.8
2026-W21,24,HelloFresh,Thai Style Coconut Prawn Noodle Soup,2,2350,522
2026-W21,25,HelloFresh,Homemade Cheesy Fishcakes,2,3187,549.8
2026-W21,26,HelloFresh,"Sausage & Apple Meatballs, Mash and Gravy",2,2932,689
2026-W21,27,HelloFresh,Easy Peasy Greek Style Chicken Bowl,2,4652,579.5
2026-W21,28,HelloFresh,15 Minute Thai Green Style Chicken Curry,2,2653,433.2
2026-W21,29,HelloFresh,Super Quick Chorizo and Tomato Spaghetti,2,2951,316.3
2026-W21,30,HelloFresh,Speedy Sausage Linguine,2,3612,537.5
2026-W21,31,HelloFresh,Honey Glazed Sausage Bake and Bravas Inspired Sauce,2,2954,663.9
2026-W21,32,HelloFresh,Fuss-Free Cheesy Marinara Chicken Bake,2,2178,561.4
2026-W21,33,HelloFresh,Fuss-Free Teriyaki Chicken Traybake,2,2501,515.2
2026-W21,34,HelloFresh,21 Day Aged Rump Steak and Caesar Style Salad,2,2199,485.8
2026-W21,35,HelloFresh,"Quick Chicken, Pea and Spinach Korma",2,3432,468.5
2026-W21,36,HelloFresh,Chermoula Chicken and Sour Cherry Cabbage Bulgur,2,3649,557.5
2026-W21,37,HelloFresh,Dry Laksa Goreng Style Chicken Noodles,2,4081,577
2026-W21,38,HelloFresh,Quick Hot Honey Peri Peri Chicken and Pepper Tacos,2,3932,619.7
2026-W21,39,HelloFresh,Speedy Porky Penne,2,3645,578.9
2026-W21,40,HelloFresh,"Lamb, Sweet Potato and Lentil Rogan Josh",2,3594,610.8
2026-W21,41,HelloFresh,Quick Brazilian Style Roast Chicken and Chickpeas,2,3288,788.3
2026-W21,42,HelloFresh,"Mozzarella, Charred Courgette and Tomato Pizza",2,4734,807.4
2026-W21,43,HelloFresh,Mumbai Chilli Cheese Inspired Toastie,2,3418,476
2026-W21,44,HelloFresh,One Pot Creamy Leek and Butter Bean Pesto Soup,2,3061,579.3
2026-W21,45,HelloFresh,Spicy Cajun Tomato & Super Greens Rigatoni,2,2952,390.7
2026-W21,46,HelloFresh,Creamy Chickpea Korma,2,3733,532.5
2026-W21,47,HelloFresh,Chipotle Lentil and Mushroom Enchiladas,2,3139,502
2026-W21,48,HelloFresh,Pan-Fried Halloumi and Pesto Drizzle,2,2961,599
2026-W21,49,HelloFresh,Charred Cabbage and Thai Style Nam Jim Dressing,2,2871,606
2026-W21,50,HelloFresh,"Spiced Tofu, Sweet Potato and Avocado Salad",2,3360,660.8
2026-W21,51,HelloFresh,Pumpkin and Sage Girasoli in Veggie 'Nduja Sauce,2,2177,427
2026-W21,52,HelloFresh,Mozzarella and Roasted Butternut Squash Panzanella,2,2516,598.4
2026-W21,53,HelloFresh,Hearty Ratatouille Inspired Orzo,2,2477,704.2
2026-W21,54,HelloFresh,Speedy Spiced Chicken Udon,2,2106,464.3
2026-W21,55,HelloFresh,Creamy Spiced Lentil and Chicken Curry,2,2392,525
2026-W21,56,HelloFresh,Speedy Italian Style Pesto Chicken,2,2328,599.5
2026-W21,57,HelloFresh,Crispy Chicken Thai Green Style Caesar Salad,2,2470,465
2026-W21,58,HelloFresh,Family Favourite Thyme Roasted Chicken,2,2345,709.8
2026-W21,59,HelloFresh,Beef and Beany Quesadillas,2,2488,419
2026-W21,60,HelloFresh,"Bacon, Butter Bean and Red Wine Cassoulet",2,2420,666
2026-W21,61,HelloFresh,Tandoori Chicken Traybake,2,2303,546.3
2026-W21,62,HelloFresh,Basa and Sweet Onion Green Tikka Masala,2,2723,692.3
2026-W21,63,HelloFresh,Confit Duck Leg and Caramelised Leek Jus,2,3493,945.5
2026-W21,64,HelloFresh,Sticky Mustard Pork Belly and Red Wine Jus,2,3365,675
2026-W21,65,HelloFresh,Peri Peri Chicken Burger and Wedges,2,4378,656.3
2026-W21,66,HelloFresh,Herby Creamy Tomato Chicken Penne,2,2920,495.4
2026-W21,67,HelloFresh,Sticky Honey Indonesian Style Beef Rice Bowl,2,2555,409.3
2026-W21,68,HelloFresh,Tex-Mex Style Pork Mince Tacos,2,3944,542.8
2026-W21,69,HelloFresh,Chermoula Lamb Koftas and Balsamic Fig Sauce,2,2356,526.3
2026-W21,70,HelloFresh,Speedy Chipotle Bean Chilli,2,3138,667.5
2026-W21,71,HelloFresh,Presto Pesto Pea Rigatoni,2,3207,418.5
2026-W21,72,HelloFresh,Sirloin Steak in Café de Paris Style Tarragon Sauce,2,3387,661.5
